phase,scenario,run,frames,p95,p99,deadline_pct,gfx_p95,gfx_p99,gfx_jank_pct
check-before,paused-scroll-first,1,379,24.617167,42.488709,3.430079155672823,27,48,1.27
check-before,paused-scroll-first,2,384,21.267917,28.415875,1.5625,25,36,0.5
check-before,paused-scroll-first,3,384,21.188542,28.455666,1.3020833333333333,30,46,1.01
check-before,paused-scroll-first,4,384,20.701625,26.633249,0.78125,22,31,0.25
check-before,paused-scroll-first,5,379,26.897334,35.680541,5.013192612137203,30,53,1.77
check-before,playing-scroll-repeat,1,388,17.291917,21.695666,0.0,21,26,0.0
check-before,playing-scroll-repeat,2,387,15.812875,20.07725,0.0,21,24,0.0
check-before,playing-scroll-repeat,3,388,15.277417,19.9055,0.0,20,23,0.0
check-before,playing-scroll-repeat,4,388,14.164709,20.6485,0.25773195876288657,20,24,0.0
check-before,playing-scroll-repeat,5,388,18.411499,22.558625,0.25773195876288657,22,25,0.0
check-after,paused-scroll-first,1,383,23.129458,29.29975,1.3054830287206267,29,34,0.76
check-after,paused-scroll-first,2,334,37.285541,88.515917,13.47305389221557,57,150,8.0
check-after,paused-scroll-first,3,385,22.823042,28.737125,1.0389610389610389,31,36,0.5
check-after,paused-scroll-first,4,386,18.822791,24.893458,1.5544041450777202,22,27,0.5
check-after,paused-scroll-first,5,385,22.557792,29.077916,2.3376623376623376,24,34,0.25
check-after,playing-scroll-repeat,1,375,22.165959,45.792625,3.466666666666667,27,65,2.31
check-after,playing-scroll-repeat,2,387,16.651167,20.536084,0.0,21,23,0.0
check-after,playing-scroll-repeat,3,388,15.675041,18.644041,0.25773195876288657,20,22,0.0
check-after,playing-scroll-repeat,4,387,14.572209,18.818584,0.0,20,21,0.0
check-after,playing-scroll-repeat,5,387,19.61325,22.509625,0.0,22,23,0.0
