phase,scenario,run,frames,p95,p99,deadline_pct,gfx_p95,gfx_p99,gfx_jank_pct
before-restored,paused-drawer,1,386,13.135875,14.253916,0.25906735751295334,21,36,0.25
before-restored,paused-scroll-first,1,385,21.9985,28.709875,4.1558441558441555,24,42,0.75
before-restored,paused-scroll-repeat,1,387,17.690708,24.163833,0.7751937984496124,22,26,0.0
before-restored,paused-switch,1,389,14.608084,42.741834,3.8560411311053984,20,48,1.53
before-restored,paused-drawer,2,385,15.574042,22.738625,0.2597402597402597,22,36,0.5
before-restored,paused-scroll-first,2,383,23.17925,30.921208,3.133159268929504,26,36,0.76
before-restored,paused-scroll-repeat,2,385,26.393374,28.5925,0.2597402597402597,28,36,0.25
before-restored,paused-switch,2,391,14.275058,30.936583,3.3248081841432224,20,42,1.52
before-restored,paused-drawer,3,384,24.155167,31.154249,0.78125,24,36,0.76
before-restored,paused-scroll-first,3,379,25.048501,36.651334,6.596306068601583,31,44,2.04
before-restored,paused-scroll-repeat,3,387,17.294626,21.206209,0.25839793281653745,21,27,0.0
before-restored,paused-switch,3,385,10.674744,44.431457,2.5974025974025974,21,44,1.02
before-restored,paused-drawer,4,386,10.339501,16.315876,0.0,21,34,0.5
before-restored,paused-scroll-first,4,382,22.544751,27.939208,2.094240837696335,27,36,1.01
before-restored,paused-scroll-repeat,4,386,17.237458,24.444666,0.25906735751295334,21,27,0.25
before-restored,paused-switch,4,387,11.111595,43.241375,4.134366925064599,20,44,1.54
before-restored,paused-drawer,5,384,24.323833,25.941793,0.5208333333333334,24,34,0.25
before-restored,paused-scroll-first,5,384,24.051083,28.197791,3.3854166666666665,27,34,0.76
before-restored,paused-scroll-repeat,5,388,17.805249,25.558542,1.0309278350515463,22,27,0.25
before-restored,paused-switch,5,391,12.842209,45.698167,3.836317135549872,20,34,1.53
before-restored,playing-drawer,1,387,10.043751,10.987375,0.0,20,21,0.0
before-restored,playing-scroll-first,1,386,24.710542,27.644293,4.404145077720207,25,29,0.25
before-restored,playing-scroll-repeat,1,387,17.135917,20.264166,0.0,20,24,0.0
before-restored,playing-switch,1,395,10.458042,26.631083,3.2911392405063293,20,22,0.76
before-restored,playing-drawer,2,385,9.93546,14.450751,0.2597402597402597,17,24,0.5
before-restored,playing-scroll-first,2,387,23.937042,28.871959,4.134366925064599,26,34,0.5
before-restored,playing-scroll-repeat,2,387,17.394209,19.127375,1.0335917312661498,20,22,0.0
before-restored,playing-switch,2,391,15.729501,28.370959,3.580562659846547,19,42,1.27
before-restored,playing-drawer,3,387,13.878583,14.499249,0.0,20,23,0.0
before-restored,playing-scroll-first,3,371,28.302541,37.043583,8.355795148247978,36,57,3.38
before-restored,playing-scroll-repeat,3,388,19.171291,23.529,0.25773195876288657,22,24,0.0
before-restored,playing-switch,3,394,14.106625,29.306959,3.8071065989847717,19,30,1.01
before-restored,playing-drawer,4,387,13.12075,13.999542,0.0,20,23,0.0
before-restored,playing-scroll-first,4,385,23.945332,29.548959,3.896103896103896,27,40,0.75
before-restored,playing-scroll-repeat,4,387,18.110707,22.762791,0.25839793281653745,22,24,0.0
before-restored,playing-switch,4,397,12.935542,29.556375,3.7783375314861463,19,29,1.26
before-restored,playing-drawer,5,388,13.292292,20.146916,0.0,21,25,0.25
before-restored,playing-scroll-first,5,384,25.678999,30.744792,7.291666666666667,31,38,0.76
before-restored,playing-scroll-repeat,5,387,19.396582,22.609833,0.5167958656330749,21,24,0.0
before-restored,playing-switch,5,393,13.398291,28.43825,3.3078880407124682,19,24,1.01
after-restored,paused-drawer,1,385,28.264917,29.162041,0.5194805194805194,24,38,0.76
after-restored,paused-scroll-first,1,384,25.075167,29.392208,3.90625,27,34,0.5
after-restored,paused-scroll-repeat,1,387,19.571999,21.984542,0.0,22,24,0.0
after-restored,paused-switch,1,389,13.523084,46.789041,3.341902313624679,20,42,1.53
after-restored,paused-drawer,2,385,12.561834,13.927792,0.2597402597402597,20,36,0.25
after-restored,paused-scroll-first,2,383,23.334874,30.876249,5.221932114882507,28,38,0.76
after-restored,paused-scroll-repeat,2,387,15.7045,23.612917,0.0,22,26,0.0
after-restored,paused-switch,2,387,13.582832,49.570042,3.359173126614987,20,69,1.28
after-restored,paused-drawer,3,383,28.050376,28.65475,0.26109660574412535,23,36,0.5
after-restored,paused-scroll-first,3,384,25.665209,30.707833,4.166666666666667,28,40,0.75
after-restored,paused-scroll-repeat,3,387,17.835209,21.436708,0.25839793281653745,22,24,0.0
after-restored,paused-switch,3,390,13.195455,46.480167,3.8461538461538463,20,48,1.27
after-restored,paused-drawer,4,385,13.610251,14.697001,0.5194805194805194,21,32,0.25
after-restored,paused-scroll-first,4,382,23.256792,29.612584,3.141361256544503,28,40,0.76
after-restored,paused-scroll-repeat,4,387,17.279125,21.860834,0.25839793281653745,22,25,0.25
after-restored,paused-switch,4,385,23.888668,45.419792,3.116883116883117,22,46,1.28
after-restored,paused-drawer,5,385,13.569584,14.694875,0.0,21,34,0.5
after-restored,paused-scroll-first,5,382,25.073082,29.50225,3.141361256544503,28,36,1.27
after-restored,paused-scroll-repeat,5,387,15.300042,21.048958,0.0,22,23,0.0
after-restored,paused-switch,5,385,13.945167,34.460583,3.3766233766233764,20,53,1.53
after-restored,playing-drawer,1,386,13.257584,21.161958,0.5181347150259067,20,24,0.0
after-restored,playing-scroll-first,1,385,22.757501,28.742583,4.1558441558441555,23,29,0.75
after-restored,playing-scroll-repeat,1,388,18.253833,22.808084,0.25773195876288657,22,25,0.0
after-restored,playing-switch,1,388,13.532208,27.350666,3.0927835051546393,19,65,1.27
after-restored,playing-drawer,2,380,13.310332,20.489874,1.3157894736842106,21,26,0.76
after-restored,playing-scroll-first,2,386,23.610751,29.07025,3.8860103626943006,26,36,0.75
after-restored,playing-scroll-repeat,2,388,15.86775,23.09,0.25773195876288657,22,24,0.0
after-restored,playing-switch,2,394,16.381708,28.79454,4.568527918781726,20,38,1.52
after-restored,playing-drawer,3,387,9.599417,15.325917,0.0,20,22,0.0
after-restored,playing-scroll-first,3,387,24.896458,28.19775,4.392764857881137,25,27,0.25
after-restored,playing-scroll-repeat,3,387,17.309209,24.0325,0.0,21,26,0.0
after-restored,playing-switch,3,393,11.099834,26.510917,3.3078880407124682,19,34,0.51
after-restored,playing-drawer,4,388,9.9245,14.721792,0.0,20,22,0.0
after-restored,playing-scroll-first,4,386,22.525875,26.96225,1.8134715025906736,25,34,0.5
after-restored,playing-scroll-repeat,4,387,18.053833,23.420499,0.0,20,25,0.0
after-restored,playing-switch,4,392,11.92375,27.566668,3.5714285714285716,20,27,1.26
after-restored,playing-drawer,5,387,9.504542,16.819874,0.0,20,21,0.0
after-restored,playing-scroll-first,5,386,24.112584,28.031917,3.8860103626943006,25,28,0.5
after-restored,playing-scroll-repeat,5,387,16.864168,24.061083,0.0,21,24,0.0
after-restored,playing-switch,5,396,10.944042,30.742459,3.5353535353535355,19,25,0.76
